Statistical Significant Financial Indicator,Rank
MI_Net cash flow,3
MI_Net cash flow(n)/net cash flow (n−1),2
MI_Net cash flow from (used in) operating activities (n)/Net cash flow from (used in) operating activities (n−1),2
MI_Net profit/net cash flow from (used in) operating activities,2
MI_Depreciation/net cash flow from (used in) operating activities,2
MI_Market capitalization/EBITDA,2
Total assets (n)/total assets (n−1),2
Sales revenues/inventory,1
Receivables (n)/receivables (n−1),1
Net profit (n)/net profit (n−1),1
Market capitalization/EBITDA,1
Depreciation/net cash flow from (used in) operating activities,1
